Approved Symbol	Approved Name	Previous Symbols	Previous Names	Synonyms	Name Synonyms	Ensembl ID(supplied by Ensembl)
ALG11	ALG11, alpha-1,2-mannosyltransferase		"asparagine-linked glycosylation 11 homolog (S. cerevisiae, alpha-1,2-mannosyltransferase)", "asparagine-linked glycosylation 11, alpha-1,2-mannosyltransferase homolog (yeast)"	KIAA0266	"GDP-Man:Man(3)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase"	ENSG00000253710
ALG12	ALG12, alpha-1,6-mannosyltransferase		"asparagine-linked glycosylation 12 homolog (yeast, alpha-1,6-mannosyltransferase)", "asparagine-linked glycosylation 12, alpha-1,6-mannosyltransferase homolog (S. cerevisiae)"	ECM39	"dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase", "dol-P-Man dependent alpha-1,6-mannosyltransferase"	ENSG00000182858
ALG13	ALG13, UDP-N-acetylglucosaminyltransferase subunit	GLT28D1, CXorf45	"glycosyltransferase 28 domain containing 1", "chromosome X open reading frame 45", "asparagine-linked glycosylation 13 homolog (S. cerevisiae)"	MDS031, YGL047W, FLJ23018, TDRD13	"tudor domain containing 13", "N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase"	ENSG00000101901
ALG13-AS1	ALG13 antisense RNA 1		"ALG13 antisense RNA 1 (non-protein coding)"			ENSG00000229487
ALG14	ALG14, UDP-N-acetylglucosaminyltransferase subunit		"asparagine-linked glycosylation 14 homolog (yeast)", "asparagine-linked glycosylation 14 homolog (S. cerevisiae)"	MGC19780		ENSG00000172339
ALK	anaplastic lymphoma receptor tyrosine kinase		"anaplastic lymphoma kinase (Ki-1)"	CD246		ENSG00000171094
ALKBH1	alkB, alkylation repair homolog 1 (E. coli)	ALKBH	"alkB, alkylation repair homolog (E. coli)"	hABH, alkB, ABH		ENSG00000100601
ALKBH2	alkB, alkylation repair homolog 2 (E. coli)			MGC90512, ABH2		ENSG00000189046
ALKBH3	alkB, alkylation repair homolog 3 (E. coli)			DEPC-1		ENSG00000166199
ALKBH3-AS1	ALKBH3 antisense RNA 1					ENSG00000244926
ALKBH4	alkB, alkylation repair homolog 4 (E. coli)			FLJ20013		ENSG00000160993
ALKBH5	alkB, alkylation repair homolog 5 (E. coli)	OFOXD1	"oxoglutarate and iron-dependent oxygenase domain containing"	FLJ20308		ENSG00000091542
ALKBH6	alkB, alkylation repair homolog 6 (E. coli)			MGC15677		ENSG00000239382
ALKBH7	alkB, alkylation repair homolog 7 (E. coli)	SPATA11	"spermatogenesis associated 11"	MGC10974		ENSG00000125652
ALKBH8	alkB, alkylation repair homolog 8 (E. coli)			MGC10235		ENSG00000137760
ALLC	allantoicase			ALC		ENSG00000151360
ALMS1	Alstrom syndrome 1			KIAA0328		ENSG00000116127
ALMS1-IT1	ALMS1 intronic transcript 1 (non-protein coding)					ENSG00000230002
ALMS1P	Alstrom syndrome 1 pseudogene	ALMS1L	"Alstrom syndrome 1-like"			ENSG00000163016
ALOX5	arachidonate 5-lipoxygenase			5-LOX		
ALOX5AP	arachidonate 5-lipoxygenase-activating protein			FLAP	"five-lipoxygenase activating protein", "MK-886-binding protein"	ENSG00000132965
ALOX12	arachidonate 12-lipoxygenase			12S-LOX	"platelet 12-LOX"	ENSG00000108839
ALOX12B	arachidonate 12-lipoxygenase, 12R type			12R-LOX		ENSG00000179477
ALOX12P1	arachidonate 12-lipoxygenase pseudogene 1	ALOX12P				ENSG00000264958
ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2					ENSG00000262943
ALOX15	arachidonate 15-lipoxygenase			15-LOX-1		ENSG00000161905
ALOX15B	arachidonate 15-lipoxygenase, type B		"arachidonate 15-lipoxygenase, second type"	15-LOX-2		ENSG00000179593
ALOX15P1	arachidonate 15-lipoxygenase pseudogene 1	ALOX15P	"arachidonate 15-lipoxygenase pseudogene"			
ALOX15P2	arachidonate 15-lipoxygenase pseudogene 2					ENSG00000188101
ALOXE3	arachidonate lipoxygenase 3			eLOX3, E-LOX		ENSG00000179148
ALOXE3P1	arachidonate lipoxygenase 3 pseudogene 1					
ALPI	alkaline phosphatase, intestinal					ENSG00000163295
ALPK1	alpha-kinase 1			Lak, FLJ22670, KIAA1527	"lymphocyte alpha-kinase"	ENSG00000073331
ALPK2	alpha-kinase 2			HAK	"heart alpha-kinase"	ENSG00000198796
ALPK3	alpha-kinase 3			MAK, KIAA1330, Midori	"myocyte induction differentiation originator", "muscle alpha-kinase"	ENSG00000136383
ALPL	alkaline phosphatase, liver/bone/kidney	HOPS		TNSALP		ENSG00000162551
ALPP	alkaline phosphatase, placental		"alkaline phosphatase, placental (Regan isozyme)"		"Regan isozyme"	ENSG00000163283
ALPPL1~withdrawn	entry withdrawn					
ALPPL2	alkaline phosphatase, placental-like 2					ENSG00000163286
ALPPP	alkaline phosphatase, pseudogene					
ALS1~withdrawn	symbol withdrawn, see SOD1					
ALS2	amyotrophic lateral sclerosis 2 (juvenile)	ALS2CR6	"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 6"		"alsin"	ENSG00000003393
ALS2CL	ALS2 C-terminal like			FLJ36525, RN49018, DKFZp686I0110		ENSG00000178038
ALS2CR1~withdrawn	symbol withdrawn, see NIF3L1					
ALS2CR6~withdrawn	symbol withdrawn, see ALS2					
ALS2CR11	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 11			FLJ25351		ENSG00000155754
ALS2CR12	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 12					ENSG00000155749
ALS2CR14~withdrawn	symbol withdrawn, see ICA1L					
ALS2CR16~withdrawn	symbol withdrawn, see NBEAL1					
ALS2CR17~withdrawn	symbol withdrawn, see NBEAL1					
ALS2CR18~withdrawn	symbol withdrawn, see RAPH1					
ALS3	amyotrophic lateral sclerosis 3 (autosomal dominant)					
ALS5	amyotrophic lateral sclerosis 5					
ALS6~withdrawn	symbol withdrawn, see FUS					
ALS7	amyotrophic lateral sclerosis 7					
ALUNC~withdrawn	symbol withdrawn, see HR					
ALX1	ALX homeobox 1	CART1	"cartilage paired-class homeoprotein 1"			ENSG00000180318
ALX3	ALX homeobox 3		"aristaless-like homeobox 3"			ENSG00000156150
ALX4	ALX homeobox 4	PFM2	"parietal foramina 2", "aristaless-like homeobox 4"	FPP, PFM, KIAA1788		ENSG00000052850
ALYREF	Aly/REF export factor	THOC4	"THO complex 4"	ALY, BEF, ALY/REF, REF		ENSG00000183684
AMACR	alpha-methylacyl-CoA racemase			RACE		ENSG00000242110
AMBN	ameloblastin (enamel matrix protein)		"ameloblastin, enamel matrix protein"			ENSG00000178522
AMBP	alpha-1-microglobulin/bikunin precursor	ITI, ITIL		UTI, HCP, EDC1, HI30, IATIL, ITILC	"growth-inhibiting protein 19", "uristatin", "complex-forming glycoprotein heterogeneous in charge", "bikunin", "inter-alpha-trypsin inhibitor light chain", "protein HC", "uronic-acid-rich protein", "trypstatin"	ENSG00000106927
AMBRA1	autophagy/beclin-1 regulator 1			FLJ20294, KIAA1736, WDR94, DCAF3	"WD repeat domain 94", "DDB1 and CUL4 associated factor 3"	ENSG00000110497
AMCD1~withdrawn	symbol withdrawn, see TPM2					
AMCD2B~withdrawn	symbol withdrawn, see TNNI2					
AMCN	arthrogryposis multiplex congenita, neurogenic			AMC, AMCN1, AMC1		
AMD1	adenosylmethionine decarboxylase 1		"S-adenosylmethionine decarboxylase 1"	SAMDC		ENSG00000123505
AMD1P1	adenosylmethionine decarboxylase 1 pseudogene 1					ENSG00000228339
AMD2~withdrawn	symbol withdrawn, see AMDP1					
AMDHD1	amidohydrolase domain containing 1			MGC35366		ENSG00000139344
AMDHD2	amidohydrolase domain containing 2			CGI-14		ENSG00000162066
AMDM~withdrawn	symbol withdrawn, see NPR2					
AMDP1	adenosylmethionine decarboxylase pseudogene 1	AMD2, AMD	"S-adenosylmethionine decarboxylase pseudogene 1"	AMDPX, AMDPY		ENSG00000237801
AMELX	amelogenin, X-linked	AMG, AIH1	"amelogenin (X chromosome, amelogenesis imperfecta 1)"		"amelogenesis imperfecta 1"	ENSG00000125363
AMELY	amelogenin, Y-linked	AMGL	"amelogenin (Y chromosome)"			ENSG00000099721
AMER1	APC membrane recruitment protein 1	FAM123B	"family with sequence similarity 123B"	RP11-403E24.2, FLJ39827, WTX	"Wilms Tumor on the X", "adenomatous polyposis coli membrane recruitment 1"	ENSG00000184675
AMER2	APC membrane recruitment protein 2	FAM123A	"family with sequence similarity 123A"	FLJ25477		ENSG00000165566
AMER2-AS1	AMER2 antisense RNA 1 (head to head)	LINC00463	"long intergenic non-protein coding RNA 463"	TCONS_l2_00007499		ENSG00000234056
AMER3	APC membrane recruitment protein 3	FAM123C	"family with sequence similarity 123C"	FLJ38377		ENSG00000178171
AMFR	autocrine motility factor receptor, E3 ubiquitin protein ligase		"autocrine motility factor receptor"	RNF45, gp78		ENSG00000159461
AMH	anti-Mullerian hormone			MIS		ENSG00000104899
AMHR2	anti-Mullerian hormone receptor, type II			MISR2, MISRII	"Muellerian inhibiting substance type II receptor"	ENSG00000135409
AMICA1	adhesion molecule, interacts with CXADR antigen 1			Gm638, AMICA		ENSG00000160593
AMIGO1	adhesion molecule with Ig-like domain 1			AMIGO, KIAA1163	"amphoterin-induced gene and open reading frame"	ENSG00000181754
AMIGO2	adhesion molecule with Ig-like domain 2			ALI1, DEGA	"amphoterin-induced gene and open reading frame 2"	ENSG00000139211
AMIGO3	adhesion molecule with Ig-like domain 3				"amphoterin-induced gene and open reading frame 3"	ENSG00000176020
AMLCR2	acute myeloid leukemia chromosome region 2					
AMMECR1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1					ENSG00000101935
AMMECR1-IT1	AMMECR1 intronic transcript 1 (non-protein coding)					ENSG00000224142
AMMECR1L	AMMECR1-like		"AMME chromosomal region gene 1-like"	MGC4268		ENSG00000144233
AMMECR1LP1	AMMECR1-like pseudogene 1		"AMME chromosomal region gene 1-like pseudogene 1"			ENSG00000233273
AMN	amnion associated transmembrane protein		"amnionless homolog (mouse)"	amnionless		ENSG00000166126
AMN1	antagonist of mitotic exit network 1 homolog (S. cerevisiae)					ENSG00000151743
AMOT	angiomotin			KIAA1071		ENSG00000126016
AMOTL1	angiomotin like 1			JEAP	"junction-enriched and associated protein"	ENSG00000166025
AMOTL2	angiomotin like 2			LCCP	"Leman coiled-coil protein", "angiomotin-like protein 2"	ENSG00000114019
AMPD1	adenosine monophosphate deaminase 1		"adenosine monophosphate deaminase 1 (isoform M)"	MAD, MADA	"AMPD isoform M", "skeletal muscle AMPD"	ENSG00000116748
AMPD2	adenosine monophosphate deaminase 2		"adenosine monophosphate deaminase 2 (isoform L)"		"AMPD isoform L"	ENSG00000116337
AMPD3	adenosine monophosphate deaminase 3		"adenosine monophosphate deaminase (isoform E)"		"erythrocyte-specific AMP deaminase"	ENSG00000133805
AMPH	amphiphysin		"amphiphysin (Stiff-Mann syndrome with breast cancer 128kD autoantigen)", "amphiphysin (Stiff-Man syndrome with breast cancer 128kDa autoantigen)"			ENSG00000078053
AMPHL~withdrawn	symbol withdrawn, see BIN1					
AMT	aminomethyltransferase		"aminomethyltransferase (glycine cleavage system protein T)"	GCST, NKH	"glycine cleavage system protein T"	ENSG00000145020
AMTN	amelotin			UNQ689, RSTI689		ENSG00000187689
AMY1A	amylase, alpha 1A (salivary)	AMY1	"amylase, alpha 1A; salivary"			ENSG00000237763
AMY1B	amylase, alpha 1B (salivary)	AMY1	"amylase, alpha 1B; salivary"			ENSG00000174876
AMY1C	amylase, alpha 1C (salivary)	AMY1	"amylase, alpha 1C; salivary"			ENSG00000187733
AMY2A	amylase, alpha 2A (pancreatic)	AMY2	"amylase, alpha 2A; pancreatic"			ENSG00000243480
AMY2B	amylase, alpha 2B (pancreatic)	AMY2	"amylase, alpha 2B; pancreatic"			ENSG00000240038
AMYP1	amylase, alpha pseudogene 1	AMY2P				ENSG00000227408
AMZ1	archaelysin family metallopeptidase 1			KIAA1950	"archaemetzincin-1"	ENSG00000174945
AMZ2	archaelysin family metallopeptidase 2				"archaemetzincin-2"	
AMZ2P1	archaelysin family metallopeptidase 2 pseudogene 1			FLJ32065		ENSG00000214174
AMZ2P2	archaelysin family metallopeptidase 2 pseudogene 2					ENSG00000219249
AN1~withdrawn	entry withdrawn					
AN2~withdrawn	symbol withdrawn, see PAX6					
ANAPC1	anaphase promoting complex subunit 1			MCPR, TSG24, APC1		ENSG00000153107
ANAPC1P1	anaphase promoting complex subunit 1 pseudogene 1					ENSG00000233673
ANAPC2	anaphase promoting complex subunit 2			APC2, KIAA1406		ENSG00000176248
ANAPC4	anaphase promoting complex subunit 4			APC4		ENSG00000053900
ANAPC5	anaphase promoting complex subunit 5			APC5		
ANAPC7	anaphase promoting complex subunit 7			APC7		ENSG00000196510
ANAPC10	anaphase promoting complex subunit 10			APC10, DOC1, DKFZP564L0562		ENSG00000164162
ANAPC10P1	anaphase promoting complex subunit 10 pseudogene 1	ANAPC10P	"anaphase promoting complex subunit 10 pseudogene"			ENSG00000213735
ANAPC11	anaphase promoting complex subunit 11		"anaphase promoting complex subunit 11 (yeast APC11 homolog)"	HSPC214, APC11, Apc11p, MGC882		ENSG00000141552
ANAPC13	anaphase promoting complex subunit 13			SWM1, APC13, DKFZP566D193		ENSG00000129055
ANAPC15	anaphase promoting complex subunit 15	C11orf51	"chromosome 11 open reading frame 51"	HSPC020, DKFZP564M082, APC15		ENSG00000110200
ANAPC16	anaphase promoting complex subunit 16	C10orf104	"chromosome 10 open reading frame 104"	bA570G20.3, FLJ33728, APC16, CENP-27	"centromere protein 27"	ENSG00000166295
ANCR	Angelman syndrome chromosome region					
ANE1~withdrawn	symbol withdrawn, see RANBP2					
ANG	angiogenin, ribonuclease, RNase A family, 5			RNASE5		ENSG00000214274
ANGEL1	angel homolog 1 (Drosophila)	KIAA0759				ENSG00000013523
ANGEL2	angel homolog 2 (Drosophila)			KIAA0759L, FLJ12793		ENSG00000174606
ANGPT1	angiopoietin 1			KIAA0003, Ang1		ENSG00000154188
ANGPT2	angiopoietin 2			Ang2		ENSG00000091879
ANGPT3~withdrawn	symbol withdrawn, see ANGPTL1					
ANGPT4	angiopoietin 4					ENSG00000101280
ANGPT5~withdrawn	symbol withdrawn, see ANGPTL3					
ANGPTL1	angiopoietin-like 1	ANGPT3		ANG3, AngY, ARP1	"angioarrestin"	ENSG00000116194
ANGPTL2	angiopoietin-like 2			ARP2, HARP		ENSG00000136859
ANGPTL3	angiopoietin-like 3	ANGPT5			"angiopoietin 5"	ENSG00000132855
ANGPTL4	angiopoietin-like 4			pp1158, PGAR, ARP4, HFARP, FIAF, NL2	"fasting-induced adipose factor", "hepatic angiopoietin-related protein", "PPARG angiopoietin related protein", "hepatic fibrinogen/angiopoietin-related protein", "peroxisome proliferator-activated receptor (PPAR) gamma induced angiopoietin-related protein", "angiopoietin-related protein 4"	ENSG00000167772
ANGPTL5	angiopoietin-like 5					ENSG00000187151
ANGPTL6	angiopoietin-like 6			ARP5, AGF	"angiopoietin-related protein 5"	ENSG00000130812
ANGPTL7	angiopoietin-like 7			CDT6, AngX		ENSG00000171819
ANHX	anomalous homeobox					ENSG00000227059
ANIB1	aneurysm, intracranial berry 1					
ANIB2	aneurysm, intracranial berry 2					
ANIB3	aneurysm, intracranial berry 3					
ANIB4	aneurysm, intracranial berry 4					
ANK1	ankyrin 1, erythrocytic	ANK		SPH1		ENSG00000029534
ANK2	ankyrin 2, neuronal	LQT4	"long (electrocardiographic) QT syndrome 4"			ENSG00000145362
ANK3	ankyrin 3, node of Ranvier (ankyrin G)				"ankyrin-3, node of Ranvier", "ankyrin-G"	ENSG00000151150
ANKAR	ankyrin and armadillo repeat containing			FLJ25415		ENSG00000151687
ANKDD1A	ankyrin repeat and death domain containing 1A			FLJ25870		ENSG00000166839
ANKDD1B	ankyrin repeat and death domain containing 1B					ENSG00000189045
ANKEF1	ankyrin repeat and EF-hand domain containing 1	ANKRD5	"ankyrin repeat domain 5"	FLJ21669, dJ839B4.6		ENSG00000132623
ANKFN1	ankyrin-repeat and fibronectin type III domain containing 1			FLJ38335		ENSG00000153930
ANKFY1	ankyrin repeat and FYVE domain containing 1			ANKHZN, KIAA1255, ZFYVE14, BTBD23		ENSG00000185722
ANKH	ANKH inorganic pyrophosphate transport regulator	CCAL2, CMDJ	"ankylosis, progressive (mouse) homolog", "craniometaphyseal dysplasia, Jackson type (dominant)", "ankylosis, progressive homolog (mouse)"	HANK, ANK, CPPDD		ENSG00000154122
ANKHD1	ankyrin repeat and KH domain containing 1			MASK, FLJ20288, FLJ11979, FLJ10042, FLJ14127, KIAA1085		ENSG00000131503
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3 readthrough			MASK-BP3		ENSG00000254996
ANKIB1	ankyrin repeat and IBR domain containing 1			DKFZP434A0225, KIAA1386		ENSG00000001629
ANKK1	ankyrin repeat and kinase domain containing 1			X-kinase		ENSG00000170209
ANKL1~withdrawn	symbol withdrawn, see ASZ1					
ANKLE1	ankyrin repeat and LEM domain containing 1	ANKRD41	"ankyrin repeat domain 41"	FLJ39369, LEMD6	"LEM domain containing 6"	ENSG00000160117
ANKLE2	ankyrin repeat and LEM domain containing 2	KIAA0692	"KIAA0692"	LEMD7, Lem4	"LEM domain containing 7"	ENSG00000176915
ANKMY1	ankyrin repeat and MYND domain containing 1			FLJ20499, ZMYND13		ENSG00000144504
ANKMY2	ankyrin repeat and MYND domain containing 2			DKFZP564O043, ZMYND20		ENSG00000106524
ANKRA2	ankyrin repeat, family A (RFXANK-like), 2					ENSG00000164331
ANKRD1	ankyrin repeat domain 1 (cardiac muscle)			C-193, ALRP, CARP, CVARP, MCARP		ENSG00000148677
ANKRD2	ankyrin repeat domain 2 (stretch responsive muscle)			ARPP		ENSG00000165887
ANKRD6	ankyrin repeat domain 6			KIAA0957		ENSG00000135299
ANKRD7	ankyrin repeat domain 7			TSA806	"testis-specific ankyrin motif containing protein"	ENSG00000106013
ANKRD9	ankyrin repeat domain 9					ENSG00000156381
ANKRD10	ankyrin repeat domain 10			FLJ20093		ENSG00000088448
ANKRD10-IT1	ANKRD10 intronic transcript 1 (non-protein coding)					ENSG00000229152
ANKRD11	ankyrin repeat domain 11			LZ16, T13		ENSG00000167522
ANKRD12	ankyrin repeat domain 12			KIAA0874, FLJ20053, GAC-1		ENSG00000101745
ANKRD13A	ankyrin repeat domain 13A	ANKRD13	"ankyrin repeat domain 13"	NY-REN-25		ENSG00000076513
ANKRD13B	ankyrin repeat domain 13B			FLJ25555		ENSG00000198720
ANKRD13C	ankyrin repeat domain 13C			DKFZP566D1346, dJ677H15.3		ENSG00000118454
ANKRD13D	ankyrin repeat domain 13 family, member D					ENSG00000172932
ANKRD14~withdrawn	symbol withdrawn, see ANKS6					
ANKRD16	ankyrin repeat domain 16			DKFZP434N1511		ENSG00000134461
ANKRD17	ankyrin repeat domain 17			GTAR, KIAA0697, FLJ22206, NY-BR-16		ENSG00000132466
ANKRD18A	ankyrin repeat domain 18A			KIAA2015, FLJ35740		ENSG00000180071
ANKRD18B	ankyrin repeat domain 18B			bA255A11.3		ENSG00000230453
ANKRD18CP	ankyrin repeat domain 18C, pseudogene					ENSG00000159712
ANKRD18DP	ankyrin repeat domain 18D, pseudogene					ENSG00000226435
ANKRD18EP	ankyrin repeat domain 18E, pseudogene					ENSG00000217165
ANKRD19P	ankyrin repeat domain 19, pseudogene	ANKRD19	"ankyrin repeat domain 19", "ankyrin repeat domain 19 pseudogene"	FLJ36178		ENSG00000187984
ANKRD20A1	ankyrin repeat domain 20 family, member A1	ANKRD20A	"ankyrin repeat domain 20A"	DKFZp434A171		ENSG00000196774
ANKRD20A2	ankyrin repeat domain 20 family, member A2					ENSG00000183148
ANKRD20A3	ankyrin repeat domain 20 family, member A3					ENSG00000132498
ANKRD20A4	ankyrin repeat domain 20 family, member A4			OTTHUMG00000066855		ENSG00000172014
ANKRD20A5P	ankyrin repeat domain 20 family, member A5, pseudogene	ANKRD20A5	"ankyrin repeat domain 20 family, member A5"	MGC26718		ENSG00000186481
ANKRD20A6P	ankyrin repeat domain 20 family, member A6, pseudogene					
ANKRD20A7P	ankyrin repeat domain 20 family, member A7, pseudogene					ENSG00000236816
ANKRD20A8P	ankyrin repeat domain 20 family, member A8, pseudogene	ANKRD20B	"ankyrin repeat domain 20B"			ENSG00000229089
ANKRD20A9P	ankyrin repeat domain 20 family, member A9, pseudogene					ENSG00000206192
ANKRD20A10P	ankyrin repeat domain 20 family, member A10, pseudogene	ANKRD20A4P1	"ankyrin repeat domain 20 family, member A4 pseudogene 1"			ENSG00000226695
ANKRD20A11P	ankyrin repeat domain 20 family, member A11, pseudogene	C21orf81	"chromosome 21 open reading frame 81"			ENSG00000215559
ANKRD20A12P	ankyrin repeat domain 20 family, member A12, pseudogene					ENSG00000242676
ANKRD20A13P	ankyrin repeat domain 20 family, member A13, pseudogene					
ANKRD20A14P	ankyrin repeat domain 20 family, member A14, pseudogene					ENSG00000232745
ANKRD20A15P	ankyrin repeat domain 20 family, member A15, pseudogene					
ANKRD20A16P	ankyrin repeat domain 20 family, member A16, pseudogene					
ANKRD20A17P	ankyrin repeat domain 20 family, member A17, pseudogene					ENSG00000251056
ANKRD20A18P	ankyrin repeat domain 20 family, member A18, pseudogene	C21orf126	"chromosome 21 open reading frame 126"			ENSG00000249493
ANKRD20A19P	ankyrin repeat domain 20 family, member A19, pseudogene					ENSG00000196593
ANKRD20A20P	ankyrin repeat domain 20 family, member A20, pseudogene	CCDC29	"coiled-coil domain containing 29"			
ANKRD22	ankyrin repeat domain 22			MGC22805		ENSG00000152766
ANKRD23	ankyrin repeat domain 23			DARP, FLJ32449, MARP3	"diabetes related ankyrin repeat protein"	ENSG00000163126
ANKRD24	ankyrin repeat domain 24			KIAA1981		ENSG00000089847
ANKRD26	ankyrin repeat domain 26			KIAA1074		ENSG00000107890
ANKRD26P1	ankyrin repeat domain 26 pseudogene 1			FLJ43980		ENSG00000261239
ANKRD26P2	ankyrin repeat domain 26 pseudogene 2					ENSG00000235550
ANKRD26P3	ankyrin repeat domain 26 pseudogene 3	LINC00414	"long intergenic non-protein coding RNA 414"			ENSG00000237636
ANKRD26P4	ankyrin repeat domain 26 pseudogene 4					ENSG00000229427
ANKRD27	ankyrin repeat domain 27 (VPS9 domain)			FLJ00040, DKFZp434L0718, VARP	"Vps9 domain and ankyrin-repeat-containing protein"	ENSG00000105186
ANKRD28	ankyrin repeat domain 28			KIAA0379, PITK, PP6-ARS-A, PPP1R65	"phosphatase interactor targeting K protein", "protein phosphatase 6 ankyrin repeat subunit A", "protein phosphatase 1, regulatory subunit 65"	ENSG00000206560
ANKRD29	ankyrin repeat domain 29			FLJ25053		ENSG00000154065
ANKRD30A	ankyrin repeat domain 30A			NY-BR-1	"breast cancer antigen NY-BR-1"	ENSG00000148513
ANKRD30B	ankyrin repeat domain 30B			NY-BR-1.1		ENSG00000180777
ANKRD30BL	ankyrin repeat domain 30B-like	NCRNA00164, ANKRD30BP3	"non-protein coding RNA 164", "ankyrin repeat domain 30B pseudogene 3"			ENSG00000163046
ANKRD30BP1	ankyrin repeat domain 30B pseudogene 1	C21orf110, ANKRD30BP	"chromosome 21 open reading frame 110", "ankyrin repeat domain 30B pseudogene"	PRED4		ENSG00000175302
ANKRD30BP2	ankyrin repeat domain 30B pseudogene 2	C21orf99	"chromosome 21 open reading frame 99"	CT85, CTSP-1	"cancer/testis antigen 85"	ENSG00000224309
ANKRD30BP3	ankyrin repeat domain 30B pseudogene 3					
ANKRD31	ankyrin repeat domain 31			FLJ40191		ENSG00000145700
ANKRD32	ankyrin repeat domain 32	BRCTD1	"BRCT domain containing 1"	DKFZp761C121, DKFZp564C0469		ENSG00000133302
ANKRD33	ankyrin repeat domain 33	C12orf7	"chromosome 12 open reading frame 7"	DKFZp686O1689, PANKY		ENSG00000167612
ANKRD33B	ankyrin repeat domain 33B					ENSG00000164236
ANKRD33B-AS1	ANKRD33B antisense RNA 1		"ANKRD33B antisense RNA 1 (non-protein coding)"			ENSG00000250106
ANKRD33B-IT1~withdrawn	entry withdrawn					
ANKRD34A	ankyrin repeat domain 34A	ANKRD34	"ankyrin repeat domain 34"			ENSG00000181039
ANKRD34B	ankyrin repeat domain 34B			DP58		ENSG00000189127
ANKRD34C	ankyrin repeat domain 34C					ENSG00000235711
ANKRD35	ankyrin repeat domain 35			FLJ25124		
ANKRD36	ankyrin repeat domain 36			UNQ2430		ENSG00000135976
ANKRD36B	ankyrin repeat domain 36B	KIAA1641	"KIAA1641"	FLJ21281	"melanoma-associated antigen", "CLL-associated antigen KW-1"	ENSG00000196912
ANKRD36BP1	ankyrin repeat domain 36B pseudogene 1	ANKRD26L1, ANKRD36BL1	"ankyrin repeat domain 26-like 1", "ankyrin repeat domain 36B-like 1"	MGC12538		ENSG00000214262
ANKRD36BP2	ankyrin repeat domain 36B pseudogene 2					ENSG00000230006
ANKRD36C	ankyrin repeat domain 36C			DKFZp667P0924	"protein immuno-reactive with anti-PTH polyclonal antibodies"	ENSG00000174501
ANKRD36P1	ankyrin repeat domain 36 pseudogene 1					ENSG00000188399
ANKRD37	ankyrin repeat domain 37			Lrp2bp		ENSG00000186352
ANKRD39	ankyrin repeat domain 39			MGC41816		ENSG00000213337
ANKRD40	ankyrin repeat domain 40			MGC15396		ENSG00000154945
ANKRD42	ankyrin repeat domain 42			FLJ37874, SARP		ENSG00000137494
ANKRD44	ankyrin repeat domain 44			PP6-ARS-B	"protein phosphatase 6 ankyrin repeat subunit B"	ENSG00000065413
ANKRD44-IT1	ANKRD44 intronic transcript 1 (non-protein coding)					ENSG00000236977
ANKRD45	ankyrin repeat domain 45			FLJ45235, CT117	"cancer/testis antigen 117"	ENSG00000183831
ANKRD46	ankyrin repeat domain 46					ENSG00000186106
ANKRD49	ankyrin repeat domain 49			FLJ20189, FGIF, GBIF		ENSG00000168876
ANKRD50	ankyrin repeat domain 50			KIAA1223		ENSG00000151458
ANKRD52	ankyrin repeat domain 52			FLJ34236, PP6-ARS-C	"protein phosphatase 6 ankyrin repeat subunit C"	ENSG00000139645
ANKRD53	ankyrin repeat domain 53			FLJ12056, FLJ36160		
ANKRD54	ankyrin repeat domain 54			LIAR		ENSG00000100124
ANKRD54P1	ankyrin repeat domain 54 pseudogene 1					ENSG00000236442
ANKRD55	ankyrin repeat domain 55			FLJ11795		ENSG00000164512
ANKRD57P1	ankyrin repeat domain 57 pseudogene 1					
ANKRD60	ankyrin repeat domain 60	C20orf86	"chromosome 20 open reading frame 86"	bA196N14.3		ENSG00000124227
ANKRD61	ankyrin repeat domain 61					ENSG00000157999
ANKRD62	ankyrin repeat domain 62			DKFZp779B1634		ENSG00000181626
ANKRD62P1	ankyrin repeat domain 62 pseudogene 1					ENSG00000259271
ANKRD62P1-PARP4P3	ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene		"ANKRD62P1-PARP4P3 readthrough (non-protein coding)"	VWFP1-ANKRD62P1-PARP4P3		ENSG00000189295
ANKRD63	ankyrin repeat domain 63					ENSG00000230778
ANKRD65	ankyrin repeat domain 65					ENSG00000235098
ANKRD66	ankyrin repeat domain 66					ENSG00000230062
ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A	ANKS1	"ankyrin repeat and SAM domain containing 1", "ankyrin repeat and sterile alpha motif domain containing 1"	KIAA0229		ENSG00000064999
ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B			EB-1, AIDA-1, cajalin-2, ANKS2		ENSG00000185046
ANKS3	ankyrin repeat and sterile alpha motif domain containing 3			KIAA1977, FLJ32345, FLJ32767		ENSG00000168096
